Buren mukung mag-isplika.,Let me explain.,
Buren yukung mag-isplika.,Let me explain.,
Imulagat mo reng mata mu.,Open your eyes.,
Minum la ngan.,They all drank.,
Tinikdo la ngan.,They all stood.,
Pareu lang mete.,They both died.,
Pareu lang magobra.,They both work.,
Pangabalanan daku.,They bother me.,
Seli de.,They bought it.,
Kitkut de.,They buried it.,
Inaus daku.,They called me.,
Mibalik la.,They came back.,
Arakap daku.,They caught me.,
Apayntun de i Tom.,They found Tom.,
Ikit de i Tom.,They found Tom.,
Minum yang gatas i Tom.,Tom drank milk.,
Masyadu kang maragul.,You're too big.,
Talasawa ka?,Are you married?,
Maus kang pulis!,Call the police!,
Pagmananwan daka.,Congratulations!,
Pagmananwan dakayu.,Congratulations!,
Minuli ya i Tom?,Did Tom go home?,
Mamangan kang karne?,Do you eat meat?,
Kilala me?,Do you know her?,
Bisa kang tsa?,Do you like tea?,
Pilan nakang banwa?,How old are you?,
Mapagal kung mapagal.,I am very tired.,
Atin kung adwang pusa.,I have two cats.,
Buri ke ing pusang yan.,I want that cat.,
Mestru ku kanita.,I was a teacher.,
Mestra ku kanita.,I was a teacher.,
Talaturu ku kanita.,I was a teacher.,
Manaya ku.,I'll be waiting.,
Eku mataloti.,I'm not chicken.,
Migkamali ku.,I've been wrong.,
Sinawa naku.,I've had enough.,
Lupa yang makatula.,It looked funny.,
Magyelu.,It was freezing.,
Makapagmulala ya.,It's phenomenal.,
Paskwa Nin' Dispu!,Merry Christmas!,
Mapekat ing Natto.,Natto is sticky.,
Sinunga la ngan.,They all gasped.,
Linawe la ngan.,They all looked.,
Tiniman la ngan.,They all smiled.,
Migsalita la ngan.,They all talked.,
Linakad la ngan.,They all walked.,
Paniwalan da.,They believe it.,
Malyari lang magbayu.,They can change.,
Arakap de i Tom.,They caught Tom.,
Ela milayi.,They didn't run.,
Ala lang pakyalam.,They don't care.,
Ela sasaup.,They don't help.,
Migmaneu la pauli.,They drove home.,
Ikit de ini.,They found this.,
Kabayu ya ini.,This is a horse.,
Ala yang kabalu-balu i Tom.,Tom is clueless.,
Kakawe ya i Tom.,Tom is swimming.,
Lupa yang mwa i Tom.,Tom looks angry.,
Malyaring mibalik ne i Tom.,Tom may be back.,
Malyaring menasakit ya i Tom.,Tom may be hurt.,
Mebulag ya i Tom.,Tom was blinded.,
E miya akakit.,We can't see it.,
Nukarin ya ing asu ku?,Where is my dog?,
Lupa kang makmak.,You look stupid.,
Sinulat ku yan?,Did I write that?,
Keni ka makatuknang?,Do you live here?,
Keni kayu pu makatuknang?,Do you live here?,
Keni ko pu makatuknang?,Do you live here?,
Buri na ing mamadwas.,He loves fishing.,
Buri na ing manasan.,He loves fishing.,
Eke buri.,I didn't like it.,
King palage ku mete ya i Tom.,I think Tom died.,
Bisa kung pamangan.,I want some food.,
Eku doktor.,I'm not a doctor.,
Pagmaragul daka!,I'm proud of you.,
"Kukwa kung ""notes"".",I'm taking notes.,
Posibli ine?,Is this possible?,
Atyu king bale ing ima mo?,Is your mom home?,
Kasalanan na.,It was his fault.,
Kasalana'na.,It was his fault.,
Alang mamayad keni.,No one here pays.,
Linub la ngan.,They all entered.,
Ginalikgik la ngan.,They all giggled.,
Tinuknang la ngan.,They all stopped.,
Menalbe la ngan.,They all watched.,
Lupa lang mete na.,They appear dead.,
Ela mete.,They aren't dead.,
Ala lu keni.,They aren't here.,
Ela makwalta.,They aren't rich.,
Paniwalan daka.,They believe you.,
Paniwalan dakayu.,They believe you.,
Pareu lang tiniman.,They both smiled.,
Apayntun de i Tom.,They'll find Tom.,
Kaku ya ining asu.,This dog is mine.,
Alas medya kaming manyara.,We close at 2:30.,
Atin kaming letratu.,We have pictures.,
Manaya kami.,We'll be waiting.,
Nanung buri mu?,What do you want?,
Nukarin ya ing asu?,Where is the dog?,
Ninung pete mu?,Who did you kill?,
Ninung manibala.,Who's in command?,
Eka maglaram.,You wouldn't lie.,
Atyu keni ing ima mu.,Your mom is here.,
Istudyanti ka?,Are you a student?,
Makapaglambat ka?,Can you stay long?,
Balu mu ita?,Did you know that?,
Mete ya napun.,He died yesterday.,
Yaku man buri ku ing kendi.,I also like candy.,
Libri ku king utang.,I am free of debt.,
E raka sasangkanan.,I don't blame you.,
Masakit ku buntuk.,I have a headache.,
Yaku man buri ku ing kendi.,"I like candy, too.",
Atatandanan ku ngan.,I remember it all.,
Akakit dakang mamasa.,I see you reading.,
Panayan daka.,I'll wait for you.,
Sulatanan ke i Tom.,I'll write to Tom.,
Kasingkatwa daka.,I'm as old as you.,
E malyaring tutu ita,It cannot be true.,
Talabaldugan ya.,It's a dictionary.,
Eku kasalanan.,It's not my fault.,
Busni taya.,Let's get it open.,
Siguru mwa ya.,She must be angry.,
Inuman me ing panulu.,Take the medicine.,
Mekiramdam la ngan.,They all listened.,
Ginulisak la ngan.,They all screamed.,
Balu ra na.,They already knew.,
Balu ra na.,They already know.,
Meko na la.,They already left.,
Ala lu karin.,They aren't there.,
Ela kambal.,They aren't twins.,
Dekap de i Tom.,They arrested Tom.,
Dekap de.,They arrested her.,
Dekap de.,They arrested him.,
Inarestu de.,They arrested him.,
Peniwalan de i Tom.,They believed Tom.,
Pareu lang menguku.,They both coughed.,
Pareu lang ginalikgik.,They both giggled.,
Ela makatakas.,They can't escape.,
Arakap de i Tom.,They captured Tom.,
Ela makiramdam.,They don't listen.,
Minum lang kape.,They drank coffee.,
Binite de i Tom.,They executed Tom.,
Bandang tawli meko la.,They finally left.,
Tikyan de i Tom.,They followed Tom.,
Tikyan daka.,They followed you.,
Kaylangan dang magsalita.,They need to talk.,
Masyadu yang mabilis mangan i Tom.,Tom eats too fast.,
Binye neng Tom kekami.,Tom gave it to us.,
Tawli yang miratang keni i Tom.,Tom got here late.,
Alutas taya ini.,We can solve this.,
Alutas miya ini.,We can solve this.,
Presu kami.,We were prisoners.,
Makasukul kami.,We were prisoners.,
Sinambut kami king labanan.,We won the battle.,
Ninanu ka?,What got into you?,
Nanu ka lagyu?,What is your name?,
Nanu ka lagyu?,What is your name?,
Nukarin ka makatuknang?,Where do you live?,
Kaninu ya bag ini?,Whose bag is this?,
Obat makanyan?,Why would that be?,
Kaluguran daka.,You are my friend.,
Tuki ka kekami.,Come along with us.,
"Lungub ka, makabusni ya.","Come in, it's open.",
Buri mo reng mansanas?,Do you like apples?,
Atatandanan muko?,Do you remember me?,
Emu sasabian king asawa ku.,Don't tell my wife.,
Buri re ngan.,Everyone likes him.,
Deng eganagana buri re.,Everyone likes him.,
Animal la reng kabayu.,Horses are animals.,
Eke akit ing tata ku.,I can't see my dad.,
Ala kung pusa.,I don't have a cat.,
Eku aintindian.,I don't understand.,
Kilala ke ing tatang mu.,I know your father.,
Ikit ke pamu ngeni.,I saw him just now.,
Yaku man maburi kung kendi.,"I, too, like candy.",
Ini ing asawa nang Tom?,Is this Tom's wife?,
Masyadu yang mal!,It's too expensive.,
Ating mamangan.,Somebody is eating.,
Ita ing mensahi.,That's the message.,
Sapak ya ing boti.,The bottle is full.,
Mitmu ya ing boti.,The bottle is full.,
Ela makmak.,They aren't stupid.,
Pareu lang ginulisak.,They both screamed.,
Miabe-abe la.,They came together.,
Ela mekibat.,They didn't answer.,
Ala lang apayntun.,They found nothing.,
Ala lang ikit.,They found nothing.,
Bengi lang magobra.,They work at night.,
Ini ing asu nang Mary.,This is Mary's dog.,
Ini ing asu nang Maria.,This is Mary's dog.,
Ini ing asu nang Bayang.,This is Mary's dog.,
Matalik yang minum i Tom.,Tom drank too much.,
Berdi ya mata i Tom.,Tom has green eyes.,
Metung yang maginu i Tom.,Tom is a gentleman.,
Kakayap ya i Tom.,Tom is in recovery.,
Pakalon mula.,Watch them closely.,
Pakabanten mula.,Watch them closely.,
Makiramdam keng musika.,We listen to music.,
Pinilit miyang munta i Tom.,We urged Tom to go.,
Inamuyut miyang munta i Tom.,We urged Tom to go.,
Mamatras kami.,We were retreating.,
Magaral nakami.,We're studying now.,
Nananu ka?,What are you doing?,
Taga nukarin ka?,Where are you from?,
Nu ka tau?,Where are you from?,
Nukarin ke binili?,Where did I put it?,
Taganang matapang ka.,You are very brave.,
Anak ka pa.,You're still young.,
Pakibatan me ing kutang.,Answer the question.,
Makasadya nakang mako?,Are you ready to go?,
Byasa kang magmaneung kotse?,Can you drive a car?,
Malyari tang mikit pasibayo?,Could we meet again?,
Mangaylangan tamung Plan B?,Do we need a Plan B?,
Miminum kang kape?,Do you drink coffee?,
Emu daramdaman ita?,Don't you hear that?,
Lagwa mung miblas.,Get dressed quickly.,
Isake muku pauli.,Give me a ride home.,
Alas syeti yang migigising.,He gets up at seven.,
E mekibat.,He made no response.,
Oyni ing metung a akalingwan ku.,Here's one I forgot.,
Sasaryan ku ita.,I did it on purpose.,
Kaylangan ku nang matudtud.,I have to go to bed.,
Balu kung makwalta ka.,I know you are rich.,
Gewa ke yan para keka.,I made that for you.,
Gad kung mibalik.,I will be back soon.,
Ekuna daptan pasibayu ita.,I won't do it again.,
Ibye ke kang Tom.,I'll give it to Tom.,
Ibye ke keka.,I'll give it to you.,
Kutang ku kang Tom.,I'll go and ask Tom.,
Gawan keng simpli.,I'll make it simple.,
Pasayan daka.,I'll make you happy.,
E makapagmulala ita?,Isn't it remarkable?,
Kang Tom ya ing disisyun.,It's Tom's decision.,
Pantasya ya mu.,It's just a fantasy.,
Mepata ya ing bitis ku.,My foot fell asleep.,
Lon me yan.,Take a look at that.,
Ala yang laman ing boti.,The bottle is empty.,
Manyaman ini.,This is kind of fun.,
Atin yang bigoti i Tom.,Tom has a moustache.,
Siguru sasambut ya i Tom.,Tom must be winning.,
Matamad ya i Tom kanita.,Tom used to be lazy.,
Sadya yang matamad i Tom.,Tom used to be lazy.,
E ya marok a anak i Tom.,Tom's not a bad kid.,
Katamad a mestro!,What a lazy teacher!,
Nanung inum mu?,What have you taken?,
Nanu yang dalan ini?,What street is this?,
Nukarin ka munta?,Where are you going?,
Nukarin ya makatuknang i Tom?,Where does Tom live?,
Nukarin ka minta?,Where have you gone?,
Nukarin ya ing kasilyas.,Where is the toilet?,
Eraka sikasuan.,You will be ignored.,
Atyu ka murin king kekayo?,"Are you at home, too?",
Kaylangan dakang bayaranan?,Do I have to pay you?,
Byasa kang Inglis?,Do you speak English?,
Manigaral kang Inglis?,Do you study English?,
Mitakutan la ngan.,Everybody got scared.,
Mitakutan la reng sabla.,Everybody got scared.,
Eke alarin ing luklukan.,I can't fix the seat.,
King palage ku i Tom ing ginawa kaniti.,I think Tom did this.,
Linwal ku bang maglakad-lakad.,I was out for a walk.,
Alben daka.,I'll be watching you.,
Ini ing bisikleta mo?,Is this your bicycle?,
Ala yang sakit.,It's a piece of cake.,
Sayang mu ing panaun.,It's a waste of time.,
Neng kwarenta magumpisa ing bye.,Life begins at forty.,
"Nung makanyan, nanung kabaldugan na?",So what does it mean?,
E makatutwanan ita.,That was unrealistic.,
Mipaglibe lang rigalu.,They exchanged gifts.,
Meyari lang mamangan.,They finished eating.,
Tinuknang lang sasabi.,They stopped talking.,
E maybug makasabi i Tom.,Tom can barely speak.,
Sinambut ya i Tom king ligligan a ita.,Tom won that contest.,
Mipanuma kami.,We kissed each other.,
Nukarin ya ing tata mu?,Where is your father?,
Nukarin ya ing iskwela mu?,Where is your school?,
Maragul ing minaliwa keka.,You've changed a lot.,
Atin kung aisip a bayung ideya.,A new idea came to me.,
Atin kung aisip a bayung ukul.,A new idea came to me.,
Libri ka bukas?,Are you free tomorrow?,
Atin kang iket?,Did you see something?,
Maniwala ka king Dios?,Do you believe in God?,
Buri mu ing magbyahe?,Do you like to travel?,
Ating makakilala kaya?,Does anybody know him?,
Emuke kakalingwan!,Don't forget about us!,
Eya doktor.,He is not a physician.,
E bisang makiramdam kaku.,He won't listen to me.,
Kaylangan kung matudtud.,I have to go to sleep.,
Sana tahimik ya.,I hope it'll be quiet.,
Atin kung alakton.,I've missed something.,
Istu ya ing rilo mo?,Is your watch correct?,
Ustu ya ing rilo mo?,Is your watch correct?,
Malyaring muran potang bengi.,It could rain tonight.,
Misan mu milyari.,It only happened once.,
"Aliwa ika, e wari?","It wasn't you, was it?",
"Nung makananu ya ing tata, makanyan ya naman ing anak.","Like father, like son.",
Dakal lang taung manyali keni.,Many people shop here.,
Kegisanan yang gasolina ing kotsi ku.,My car ran out of gas.,
Alang maki buri king marok a balita.,Nobody likes bad news.,
Alang makaintindi kaku.,Nobody understands me.,
Alang impusibli.,Nothing is impossible.,
Pakisara me ing pasbul.,Please close the door.,
Pakiplantsa me ing kamiseta.,Please iron the shirt.,
Alus yari na ing kaleldo.,Summer is almost over.,
"Tutu ita, e wari?","That's true, isn't it?",
Sindu da ing pamamangan.,They continued eating.,
Era aintindyan.,They don't understand.,
Mipaglibe lang timan.,They exchanged smiles.,
Pepapuntan daku karin.,They made me go there.,
Maragul a kamalian ini.,This is a big mistake.,
Miminum yang danum i Tom.,Tom is drinking water.,
Eta makapunta ngeni.,We can't go right now.,
Kuma tang aliwa.,We'll get another one.,
Nanu pang kaylangan mu?,What else do you need?,
Nanung laman dareng kahun a reni?,What's in these boxes?,
Nanung atyu karening kahun?,What's in these boxes?,
Nanu ka pilidu?,What's your last name?,
Nanu kayu pu pilidu?,What's your last name?,
Nu raka malyaring pakikitan?,Where can we meet you?,
Nu rakayu malyaring pakikitan?,Where can we meet you?,
Nukarin ya ing banyu?,Where is the bathroom?,
Mas masikan ka ngeni.,You're stronger today.,
Ating tinuki keka?,Did anybody follow you?,
Ating mebating keka?,Did you lose something?,
Kaylangan ku nang gawan ngene?,Do I have to do it now?,
Gawan mu ing anggang kaylangan.,Do whatever's required.,
Balu me ing pakibat?,Do you know the answer?,
King palage mu mamulang ko?,Do you think I'm crazy?,
King palage mu balu nang Tom?,Do you think Tom knows?,
Byasa ya king handball.,He is good at handball.,
Ene magdilidili.,He isn't alone anymore.,
Agyu na kanu ngana.,He said he could do it.,
Anak ya pa ampong masanting ya katawan ya.,He's young and healthy.,
Anak ya pa ampong masanting ya mabulas ya.,He's young and healthy.,
Ala kung obra bukas.,I am off duty tomorrow.,
Eku malyaring paintulutan ita.,I can't authorize that.,
Ala kung pera.,I don't have any money.,
Eke murin buri.,I don't like it either.,
Eku byasang Apon.,I don't speak Japanese.,
Buri raka mung kawlan.,I just want to hug you.,
Balu kung imposibli ita.,I know it's impossible.,
Balu kung e malyari ita.,I know it's impossible.,
Aldo-aldo kung maglutung paugtwan.,I make lunch every day.,
Sabi ku paburen me i Tom.,I said leave Tom alone.,
Pekisabyan ke ing pamilya ku.,I spoke with my family.,
Atyu ku king kabundukan.,I was in the mountains.,
Atyu ku king kabundukan kanita.,I was in the mountains then.,
Buri ku sa atyu ku Boston.,I wish I was in Boston.,
Bayu yang letrato?,Is it a recent picture?,
Eku magtaka.,It doesn't surprise me.,
Tando ka king awang.,Look out of the window.,
"Ay, eka makanyan.","Oh, don't be like that.",
Metung yang sikat a magkanta.,She is a famous singer.,
Mas anak ya kesa kaku.,She is younger than me.,
Panayan daka?,Should we wait for you?,
Salamat king saup.,Thanks for the support.,
Salamat king suporta.,Thanks for the support.,
Atin yang diperensya ing rilo.,The clock is defective.,
Meyaregla na ing pisasabian.,The matter was settled.,
Silab da ing sarili da.,They burned themselves.,
Sindu da ing pamaglakad.,They continued walking.,
Sindu da ing pamagobra.,They continued working.,
Panayan de.,They're waiting for it.,
Ini ing malyari.,This is what'll happen.,
Maklak ya king metung a balugbug i Tom.,Tom is deaf in one ear.,
Atyu pa king iskwela i Tom.,Tom is still at school.,
Manalbe yang TV i Tom ngeni.,Tom is watching TV now.,
Lalbe yang TV i Tom ngeni.,Tom is watching TV now.,
Atlu lang pamagbayu deng gewa nang Tom.,Tom made three changes.,
Balamu e kuntentu i Tom.,Tom seems discontented.,
Ena gawan Tom ita.,Tom will never do that.,
Ating keng gagawan.,We are doing something.,
E mi pa balu.,We don't know just yet.,
Nanu ing pamaglabag?,What was the violation?,
Nanu ya lagyu ing anak mung lalaki?,What's your son's name?,
Ot eme buri i Tom?,Why don't you like Tom?,
Eka malyaring sumambut.,You can't possibly win.,
Emu paniwalan ini!,You won't believe this!,
Eyu paniwalan ini!,You won't believe this!,
Masikan kang tau.,You're a strong person.,
Buri raka ngan deng kaluguran ku.,All my friends like you.,
Eme kakalingwan ing tiket.,Don't forget the ticket.,
Kitnan naku nung nukarin munta.,He asked me where to go.,
Sabik yang magtagumpe.,He is eager for success.,
Bulag ya kabait na.,He was blind from birth.,
Makananu nang apalyaring Tom ita?,How did Tom manage that?,
Pepayaus daka kang Tom.,I asked Tom to call you.,
Menyad kung katas ning ubas.,I asked for grape juice.,
Ekuna agyung gawan ini.,I can't do this anymore.,
Balu kung ala yang kasalanan i Tom.,I know Tom isn't guilty.,
Buri ku basan neng Tom ini.,I want Tom to read this.,
Buri rakang akit a titiman.,I want to see you smile.,
Buri keng pakisabian i Tom.,I want to talk with Tom.,
Buri kung tukyan muku.,I want you to follow me.,
Yaku ing bayu nang sekretaryang Tom.,I'm Tom's new secretary.,
Eku balu nung nanung sabian ku.,I'm at a loss for words.,
Kaylangan keng gawan ini ngeni.,I've got to do this now.,
Eku pa mekasulagpo.,I've never flown before.,
Malino ing kakung pamag-isplika?,Is my explanation clear?,
Malino ing kakung kapatagan?,Is my explanation clear?,
Ena makanyan.,It's no longer that way.,
Panaun na para king katutuan.,It's time for the truth.,
Adwa ya awang ing kwartu ku.,My room has two windows.,
Pane yang malinis ing kwartu ku.,My room is always clean.,
"Sigi, mangisnawa kang malamam.","Now, take a deep breath.",
Balamu e ustu ita.,That doesn't seem right.,
Ita ing dakeng makatakut.,That was the scary part.,
Mesaya ya king balita.,The news made him happy.,
Pakakalale lang linub.,They entered cautiously.,
Mababa la paglalawe kaya kanita.,They looked down on him.,
Ala yang pete i Tom.,Tom didn't kill anybody.,
Ala yang tuknangan i Tom.,Tom doesn't have a home.,
Mekamura ya i Tom.,Tom got a bargain price.,
Nanu yang klasing tau?,What kind of man was he?,
Ninung panayan mu?,Who are you waiting for?,
Milako la obra deng magobra.,Workers lost their jobs.,
Ala kang sinabi.,You never said anything.,
"Kikyak ya i Tom. ""Balu ku.""","Tom's crying. ""I know.""",
Manyad nakung metung a basung danom?,"A glass of water, please.",
Eka makapuntang dili mo?,Can't you go by yourself?,
Sinabi kung yari nako?,Did I say I was finished?,
Maniwala ka kareng maglage?,Do you believe in ghosts?,
Ditak la mung taung maki adwang kotsi.,Few people have two cars.,
Ala yang kapatad a babai.,He doesn't have a sister.,
Ala yang kutnanan.,He has nobody to consult.,
Masaya ya king panga-Hudyu na.,He was happy being a Jew.,
Eku kumabye nung ala ka.,I can't live without you.,
Eku balu nung nanung balu ku.,I don't know what I know.,
Atin kung kaylangang ausan.,I had some calls to make.,
Awsan daka king teleponu kaybat.,I'll call you back later.,
Sabian ku ngan keka.,I'll tell you everything.,
Makasadya nakung magbakasyun.,I'm ready for a vacation.,
"King makuyad a salita, makuyad ing bye.","In a word, life is short.",
Masala pa king kilwal.,It's still light outside.,
Lumawe ta king malating silid.,Let's look in the closet.,
Mipakibatan la reng pangadi ku.,My prayers were answered.,
Alang manakit kekatamu.,No one's going to see us.,
Maus kung doktor?,Should I call the doctor?,
Ela makiramdam deng aliwang tau.,Some people never listen.,
Mag-taxi ka papunta king hotel.,Take a taxi to the hotel.,
Yan ing inorder ku.,That's what I've ordered.,
Mangulisak la reng bingut.,The babies are screaming.,
Atyu king babo lamesa ing libru.,The book is on the table.,
Mabusni ya ing awang.,The window was wide open.,
Sindu da ing pamanintun.,They continued searching.,
Ing alcohol ing magpagana king kotsing ini.,This car runs on alcohol.,
Taganang magalang ya i Tom.,Tom certainly was polite.,
Ene akilalang Tom.,Tom didn't recognize her.,
Enaku makaing buring Tom.,Tom doesn't like me much.,
Atin yang kumpanyang panibalan i Tom.,Tom had a company to run.,
Alayu king upisina i Tom.,Tom is out of the office.,
Pitda neng Tom ing musika.,Tom turned off the music.,
Eke misabi napun.,We didn't talk yesterday.,
E kami misabi napun.,We didn't talk yesterday.,
Nanung payntunan mu?,What are you looking for?,
Ninung mematda king sulu?,Who turned off the light?,
Ninung mematda king sulu?,Who turned the light off?,
Ot e tamu mag-order pizza?,Why don't we order pizza?,
"Makapagmaneu ka, e wari?","You can drive, can't you?",
Eka tumerak?,Aren't you going to dance?,
Agyu taya pin yan?,Can we really afford that?,
Ikwa me ing mensahi nang Tom?,Did you get Tom's message?,
Ikwa ye ing mensahi nang Tom?,Did you get Tom's message?,
"Lakwan mukung dili ku, ngana.","He said, ""Leave me alone.""",
Tatakut ku king madalumdum.,I have a fear of the dark.,
Ala kung baleng tuknangan.,I have no home to live in.,
Balu ku nang ikit ku ne.,I knew I'd seen it before.,
Likwan ko reng sapatus king iskwela.,I left my shoes at school.,
Eku miminum o sisindi.,I neither drink nor smoke.,
Lalakad kung adwang pulung milya aldo'ldo.,I walk twenty miles a day.,
Siguradu kung dakal ka gagawan.,I'm sure you're very busy.,
Siguradu kung taganang okupadu ka.,I'm sure you're very busy.,
Minuran masikan nabengi.,It rained hard last night.,
Siguru malyari kung makiyagnan keka.,Maybe I could go with you.,
"Atin yang kagiwan a ""psychic"".",She has psychic abilities.,
Ita ing sasabyan ning balang metung.,That's what everyone says.,
Ningnang ne ning kusineru ing karni.,The cook broiled the meat.,
Aldo ning Katimawan ngeni.,Today is Independence Day.,
Tinggap neng Tom ing aluk nang Mary.,Tom accepted Mary's offer.,
Makapagmulala ing obrang gewa nang Tom.,Tom did an incredible job.,
Tinakas ya i Tom king kayang selda.,Tom escaped from his cell.,
Maki paintulut i Tom a gawan ita.,Tom is allowed to do that.,
Balu nang Tom ing kabaldugan na niti.,Tom knows what this means.,
Mibalik ya i Tom king luklukan na.,Tom went back to his seat.,
Pepapintura miya kang Tom ing dingding.,We had Tom paint the wall.,
Pepapintura miya kang Tom ing pader.,We had Tom paint the wall.,
E miya pa sibukan yan.,We haven't tried that yet.,
Payntunan miya i Tom ngeni.,We're looking for Tom now.,
Nanung buri mu kaya?,What do you like about it?,
Nanung buri mung pagawa kaku?,What do you want me to do?,
Nanung panyabyan mu?,Who are you talking about?,
Nanung panyabyan yu?,Who are you talking about?,
Aldo kung kebaytan napun.,Yesterday was my birthday.,
Malyari meng gisyan ing kahun ba yang ibusni.,You can tear the box open.,
Eka gawang anti kanyan.,You will do no such thing.,
Agyu mung ulan ing payntungulan?,Can you predict the future?,
Makapanaya kang manga metung a oras?,Can you wait about an hour?,
Byasa ko ngang magsalitang Pranses?,Do all of you speak French?,
Atin tamung kaylangang bayaran?,Do we have to pay anything?,
Buri mukung awsang Tom?,Do you want me to call Tom?,
Eme tatabili ing obra mu neng aldo.,Don't give up your day job.,
Alang lugud king alang angga.,Eternal love doesn't exist.,
Agnan-agnan la kareng gagawan da deng mikaluguran.,Friends do things together.,
Ikit mune ine?,Have you seen this already?,
"Lagwa mu, mitawli tamu.","Hurry up, or we'll be late.",
Minta ku keni bang mamyalung soccer.,I came here to play soccer.,
Kaylangan ku neng gisingan i Tom pinandit.,I have to wake Tom up soon.,
Balu kung maulagang obra ita.,I know it's important work.,
Kaylangan ke ing metung a tasa ning mapaling kape.,I need a cup of hot coffee.,
King palage ku ustu na ing pengan tamu.,I think we've eaten enough.,
Balaku siryosu ka.,I thought you were serious.,
Kabukas kung makagising a mamasa.,I was up all night reading.,
Taganang pakisabyan ke i Tom.,I'll certainly talk to Tom.,
Eku siguradu nung ikit neng Tom.,I'm not sure if Tom saw it.,
Aliwa ita ing amanwan ku.,I'm not talking about that.,
Taganang makarine.,It was really embarrassing.,
Siguru dakitan daka.,Maybe they'll come for you.,
Siguru dapat kang kumang metung.,Perhaps you should get one.,
Migpasya yang magdoktor.,She decided to be a doctor.,
Migdisisyun yang magdoktor.,She decided to be a doctor.,
Metung yang bantug a magkanta.,She is a well-known singer.,
Metung yang kabalitan a magkanta.,She is a well-known singer.,
Metung yang bunying magkanta.,She is a well-known singer.,
